,Postal Code,Borough,Neighborhood,Postal Code,Latitude,Longitude
75,M6R,West Toronto,"Parkdale, Roncesvalles",M6G,43.669542,-79.4225637
76,M7R,Mississauga,Canada Post Gateway Processing Centre,M6H,43.66900510000001,-79.4422593
77,M9R,Etobicoke,"Kingsview Village, St. Phillips, Martin Grove Gardens, Richview Gardens",M6J,43.647926700000006,-79.4197497
78,M1S,Scarborough,Agincourt,M6K,43.6368472,-79.42819140000002
79,M4S,Central Toronto,Davisville,M6L,43.713756200000006,-79.4900738
80,M5S,Downtown Toronto,"University of Toronto, Harbord",M6M,43.6911158,-79.47601329999999
81,M6S,West Toronto,"Runnymede, Swansea",M6N,43.67318529999999,-79.48726190000001
82,M1T,Scarborough,"Clarks Corners, Tam O'Shanter, Sullivan",M6P,43.6616083,-79.46476329999999
83,M4T,Central Toronto,"Moore Park, Summerhill East",M6R,43.6489597,-79.456325
84,M5T,Downtown Toronto,"Kensington Market, Chinatown, Grange Park",M6S,43.6515706,-79.4844499
85,M1V,Scarborough,"Milliken, Agincourt North, Steeles East, L'Amoreaux East",M7A,43.6623015,-79.3894938
86,M4V,Central Toronto,"Summerhill West, Rathnelly, South Hill, Forest Hill SE, Deer Park",M7R,43.6369656,-79.61581899999999
87,M5V,Downtown Toronto,"CN Tower, King and Spadina, Railway Lands, Harbourfront West, Bathurst Quay, South Niagara, Island airport",M7Y,43.6627439,-79.321558
88,M8V,Etobicoke,"New Toronto, Mimico South, Humber Bay Shores",M8V,43.6056466,-79.50132070000001
89,M9V,Etobicoke,"South Steeles, Silverstone, Humbergate, Jamestown, Mount Olive, Beaumond Heights, Thistletown, Albion Gardens",M8W,43.60241370000001,-79.54348409999999
90,M1W,Scarborough,"Steeles West, L'Amoreaux West",M8X,43.653653600000005,-79.5069436
91,M4W,Downtown Toronto,Rosedale,M8Y,43.6362579,-79.49850909999999
92,M5W,Downtown Toronto,Stn A PO Boxes,M8Z,43.6288408,-79.52099940000001
93,M8W,Etobicoke,"Alderwood, Long Branch",M9A,43.6678556,-79.53224240000002
94,M9W,Etobicoke,Northwest,M9B,43.6509432,-79.55472440000001
95,M1X,Scarborough,Upper Rouge,M9C,43.6435152,-79.57720079999999
96,M4X,Downtown Toronto,"St. James Town, Cabbagetown",M9L,43.7563033,-79.56596329999999
97,M5X,Downtown Toronto,"First Canadian Place, Underground city",M9M,43.7247659,-79.53224240000002
98,M8X,Etobicoke,"The Kingsway, Montgomery Road, Old Mill North",M9N,43.706876,-79.51818840000001
99,M4Y,Downtown Toronto,Church and Wellesley,M9P,43.696319,-79.53224240000002
100,M7Y,East Toronto,Business reply mail Processing Centre,M9R,43.6889054,-79.55472440000001
101,M8Y,Etobicoke,"Old Mill South, King's Mill Park, Sunnylea, Humber Bay, Mimico NE, The Queensway East, Royal York South East, Kingsway Park South East",M9V,43.739416399999996,-79.5884369
102,M8Z,Etobicoke,"Mimico NW, The Queensway West, South of Bloor, Kingsway Park South West, Royal York South West",M9W,43.706748299999994,-79.5940544
